Replicate;mean.fitness;mean.learning.rate;mean.learning.episodes;mean.best.fitness;performance;environmental.mean.location;lifespan;env_sd;env_change;change_rate;learning_prop_life;fitness_prop_life
8;317.5762131;0.237717972;5;379.3129866;0.837095566;-0.164414811;500;0.25;0.4;100;0.01;0.635152426
9;343.4936883;0.480406273;5;379.0469324;0.9061613;-0.068108961;500;0.25;0.4;100;0.01;0.686987377
10;343.1054833;0.200849933;5;379.437821;0.904225059;-0.066872322;500;0.25;0.4;100;0.01;0.686210967
11;338.3438951;0.004307708;5;379.409839;0.891712689;0.143906042;500;0.25;0.4;100;0.01;0.67668779
12;318.25212;0.196229269;5;379.2729944;0.839089162;0.009518101;500;0.25;0.4;100;0.01;0.63650424
13;334.0053258;0.263420726;5;379.3107085;0.880544542;-0.045015432;500;0.25;0.4;100;0.01;0.668010652
14;333.7893702;3.981911008;5;379.133514;0.880372412;0.085088287;500;0.25;0.4;100;0.01;0.66757874
15;338.293914;1.584280993;5;379.4385993;0.891568193;-0.154735554;500;0.25;0.4;100;0.01;0.676587828
16;333.2240513;0.378410745;5;379.2679964;0.878545258;-0.170513528;500;0.25;0.4;100;0.01;0.666448103
17;329.0677008;0.123221109;5;379.2761985;0.867604235;-0.028853282;500;0.25;0.4;100;0.01;0.658135402
18;320.6503046;3.037225441;5;379.3908447;0.845077446;0.157145195;500;0.25;0.4;100;0.01;0.641300609
19;341.1793242;0.176882721;5;379.1394437;0.899902454;-0.035494388;500;0.25;0.4;100;0.01;0.682358648
0;350.9641214;0.526048656;10;375.2999922;0.935179693;-0.045391589;500;0.25;0.1;1;0.02;0.701928243
1;352.0996509;0.565078354;10;375.724141;0.937114514;-0.063211739;500;0.25;0.1;1;0.02;0.704199302
2;347.7734973;0.698735751;10;375.6661783;0.925781463;0.067191969;500;0.25;0.1;1;0.02;0.695546995
3;347.234426;0.599610399;10;375.3449734;0.92510945;0.021044381;500;0.25;0.1;1;0.02;0.694468852
4;350.5709062;0.620817638;10;375.3590206;0.933954479;0.105787528;500;0.25;0.1;1;0.02;0.701141812
5;341.5957121;0.519989294;10;375.4649531;0.909794303;0.00090421;500;0.25;0.1;1;0.02;0.683191424
6;352.1698132;0.63783321;10;375.1909932;0.938616108;0.006564984;500;0.25;0.1;1;0.02;0.704339626
7;350.41257;0.586919104;10;375.527414;0.93313059;-0.104597674;500;0.25;0.1;1;0.02;0.70082514
8;349.9818669;0.50970116;10;375.4589933;0.932120912;0.06365369;500;0.25;0.1;1;0.02;0.699963734
9;350.0615108;0.522779893;10;375.3623178;0.932606894;-0.011398058;500;0.25;0.1;1;0.02;0.700123022
10;345.7372649;0.62083712;10;375.4293144;0.920948727;-0.037350505;500;0.25;0.1;1;0.02;0.69147453
11;325.7036042;0.366991495;10;375.5253158;0.867328449;0.064902279;500;0.25;0.1;1;0.02;0.651407208
12;350.9085141;0.596747031;10;375.3919719;0.934795115;0.028851748;500;0.25;0.1;1;0.02;0.701817028
