Replicate;mean.fitness;mean.learning.rate;mean.learning.episodes;mean.best.fitness;performance;environmental.mean.location;lifespan;env_sd;env_change;change_rate;learning_prop_life;fitness_prop_life
17;37.08631467;0.656205387;4.183299;40.39524799;0.918256164;-0.02550861;50;0.4;0.1;1;0.08366598;0.741726293
18;36.97797108;0.660489148;3.8610205;40.68069939;0.909063349;0.059091462;50;0.4;0.1;1;0.07722041;0.739559422
19;36.88064022;0.693039516;3.966395;40.59886259;0.908358057;0.120972783;50;0.4;0.1;1;0.0793279;0.737612804
0;36.81938763;0.635137868;4.3247125;40.22605957;0.915322878;0.021400799;50;0.4;0.25;1;0.08649425;0.736387753
1;36.77077699;0.680292593;4.5986965;40.05210611;0.918107476;0.05073433;50;0.4;0.25;1;0.09197393;0.73541554
2;36.85886311;0.646930546;4.426957;40.17777051;0.917429917;-0.036159865;50;0.4;0.25;1;0.08853914;0.737177262
3;37.1667231;0.583221261;4.1644495;40.38241874;0.920391851;0.056919031;50;0.4;0.25;1;0.08328899;0.743334462
4;36.99199085;0.710551483;4.421249;40.20459936;0.920057809;-0.009330005;50;0.4;0.25;1;0.08842498;0.739839817
5;37.15335262;0.715964407;4.3333395;40.24787136;0.923229175;0.010277725;50;0.4;0.25;1;0.08666679;0.743067052
6;36.41175356;0.377694366;4.573473;40.03533213;0.909535705;-0.020096102;50;0.4;0.25;1;0.09146946;0.728235071
7;36.89219805;0.671672421;4.390297;40.21414255;0.917382676;0.01508794;50;0.4;0.25;1;0.08780594;0.737843961
8;37.07106268;0.715039293;4.3054285;40.23619066;0.921267251;-0.026547317;50;0.4;0.25;1;0.08610857;0.741421254
9;36.28145193;0.3468047;4.2960755;40.25861893;0.901295853;0.004531491;50;0.4;0.25;1;0.08592151;0.725629039
10;36.84045405;0.776170117;4.2013795;40.35454418;0.912932219;0.038458142;50;0.4;0.25;1;0.08402759;0.736809081
11;36.98983779;0.63015727;4.121266;40.43310814;0.914872159;0.005793038;50;0.4;0.25;1;0.08242532;0.739796756
